Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Female,No,Graduate,No,1000,952,0.89,360,0,Semiurban,0
Female,No,Graduate,Yes,3638,1633,0.96,360,1,Semiurban,1
Female,No,Graduate,No,2385,1225,0.8,180,1,Urban,1
Male,Yes,Graduate,No,2668,640,1.43,360,1,Urban,1
Female,No,Graduate,Yes,2134,2145,0.84,360,0,Semiurban,1
Male,Yes,Graduate,Yes,4342,0,1.47,360,0,Semiurban,0
Male,Yes,Not Graduate,No,5430,0,1.36,300,1,Rural,0
Male,No,Graduate,No,4010,1398,0.65,360,1,Semiurban,1
Male,Yes,Not Graduate,No,2894,0,1.17,300,1,Rural,1
Male,Yes,Not Graduate,No,4060,0,1.04,300,0,Rural,1
Female,No,Graduate,No,1071,2538,0.92,360,0,Semiurban,0
Male,Yes,Not Graduate,No,4022,0,1.26,180,0,Rural,1
Male,Yes,Not Graduate,No,5100,407,1.36,300,0,Rural,1
Female,No,Graduate,No,1000,1877,1.02,300,0,Urban,0
Male,Yes,Graduate,No,6111,0,1.85,300,1,Urban,1
Male,Yes,Graduate,No,4536,1432,1.79,300,1,Urban,1
Female,Yes,Not Graduate,Yes,1801,3026,1.11,360,0,Rural,1
Male,Yes,Not Graduate,No,4718,0,1.42,300,1,Rural,0
Female,No,Graduate,No,2464,1892,1.04,300,0,Urban,0
Male,Yes,Not Graduate,No,3257,1571,1.1,180,1,Rural,1
Female,Yes,Not Graduate,Yes,3450,3068,1.15,300,0,Rural,0
Male,Yes,Not Graduate,No,5219,0,1.15,300,0,Rural,1
Male,Yes,Graduate,No,5720,191,1.56,180,0,Urban,1
Male,Yes,Graduate,Yes,5139,550,0.96,300,0,Semiurban,1
Female,No,Graduate,Yes,4211,433,1.11,360,1,Semiurban,0
Male,No,Graduate,No,1616,1344,0.95,180,0,Semiurban,1
Male,No,Graduate,No,2260,1454,0.69,360,1,Semiurban,1
Male,Yes,Not Graduate,No,4259,0,1.12,180,0,Rural,0
Male,Yes,Not Graduate,No,3884,0,1.05,180,0,Rural,1
Male,Yes,Graduate,Yes,2046,0,1.24,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,1000,1932,1.21,180,0,Rural,0
Female,No,Graduate,No,1195,880,0.84,360,0,Urban,1
Female,No,Graduate,No,1143,1226,0.96,300,0,Semiurban,0
Male,Yes,Graduate,No,6219,0,1.46,360,0,Urban,0
Female,No,Graduate,No,2585,2383,1.12,300,0,Semiurban,0
Male,Yes,Graduate,No,6688,0,1.47,180,1,Urban,0
Male,Yes,Graduate,Yes,5037,0,1.69,360,1,Semiurban,1
Male,Yes,Not Graduate,No,5461,0,1.24,180,1,Rural,0
Male,No,Graduate,No,2054,1064,0.73,180,1,Semiurban,1
Male,Yes,Not Graduate,No,2708,0,1.09,180,1,Rural,0
Male,Yes,Not Graduate,No,3345,0,1.27,180,0,Rural,1
Female,No,Graduate,Yes,2344,2126,1.05,360,1,Semiurban,0
Male,Yes,Graduate,Yes,4745,323,1.29,300,1,Semiurban,1
Male,Yes,Graduate,No,6810,0,1.58,180,1,Urban,1
Female,No,Graduate,No,2532,602,1.16,300,1,Semiurban,0
Male,Yes,Not Graduate,No,3950,0,1.14,300,0,Rural,0
Male,Yes,Graduate,No,7073,1264,1.58,360,1,Urban,0
Female,No,Graduate,Yes,3117,3263,0.99,300,0,Semiurban,1
Female,Yes,Not Graduate,Yes,2710,2139,0.99,360,0,Rural,0
Male,Yes,Not Graduate,No,4932,0,0.86,180,1,Rural,0
Male,Yes,Not Graduate,No,2534,629,1.4,300,0,Rural,1
Male,Yes,Not Graduate,No,4191,0,1.15,360,1,Rural,0
Male,Yes,Not Graduate,No,3934,812,1.59,180,1,Rural,1
Male,Yes,Not Graduate,No,3970,382,1.0,180,1,Rural,1
Male,No,Graduate,No,1000,2007,0.55,360,1,Semiurban,1
Female,No,Graduate,No,1394,0,1.22,180,1,Urban,0
Male,Yes,Graduate,No,4504,130,1.8,180,1,Urban,1
Female,No,Graduate,No,1408,1046,0.92,180,1,Urban,0
Female,No,Graduate,No,1202,2086,0.76,300,1,Semiurban,0
Male,Yes,Graduate,No,6693,278,1.8,180,1,Urban,0
Female,No,Graduate,No,1865,2049,1.15,300,0,Semiurban,0
Male,Yes,Graduate,No,6859,568,1.85,180,0,Urban,1
Male,Yes,Not Graduate,No,4430,197,1.37,180,1,Rural,1
Female,Yes,Not Graduate,Yes,2819,1988,1.27,180,1,Rural,0
Male,Yes,Not Graduate,No,3701,0,1.28,180,0,Rural,0
Male,Yes,Graduate,No,5990,0,1.07,180,0,Urban,1
Female,No,Graduate,Yes,2585,1400,0.91,300,0,Semiurban,0
Male,Yes,Not Graduate,No,1967,909,1.61,360,1,Rural,1
Female,Yes,Not Graduate,Yes,4122,3470,1.29,300,1,Rural,0
Female,No,Graduate,No,4267,1818,0.85,180,0,Semiurban,1
Male,Yes,Graduate,No,5399,645,1.6,360,1,Urban,1
Female,Yes,Not Graduate,Yes,3224,961,0.74,360,1,Rural,1
Male,Yes,Graduate,Yes,5711,456,1.4,300,1,Semiurban,0
Female,No,Graduate,Yes,1471,1473,1.04,180,1,Semiurban,1
Male,No,Graduate,No,3489,833,0.93,360,0,Semiurban,0
Female,No,Graduate,Yes,2953,1573,0.74,180,0,Semiurban,0
Male,Yes,Not Graduate,No,1606,194,1.25,360,1,Rural,1
Male,No,Graduate,No,1000,898,0.5,180,0,Semiurban,1
Male,Yes,Graduate,No,5253,965,1.46,300,1,Urban,0
Female,Yes,Not Graduate,Yes,3276,2610,1.49,360,1,Rural,1
Female,No,Graduate,Yes,4294,1245,1.19,180,0,Semiurban,0
Male,Yes,Not Graduate,No,3367,0,1.07,180,0,Rural,1
Male,Yes,Not Graduate,No,2821,0,0.97,360,1,Rural,0
Female,No,Graduate,No,2515,1346,1.29,300,1,Semiurban,0
Female,No,Graduate,No,4531,1915,1.09,360,1,Urban,1
Male,Yes,Not Graduate,No,3971,0,1.47,360,0,Rural,0
Male,Yes,Graduate,No,5337,89,1.8,180,0,Urban,1
Male,Yes,Graduate,No,3047,0,1.53,300,1,Urban,0
Female,No,Graduate,Yes,3681,1682,0.94,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,1524,1039,1.08,360,0,Rural,0
Male,Yes,Not Graduate,No,3276,1520,0.97,180,1,Rural,0
Female,No,Graduate,No,1000,141,1.05,300,0,Urban,0
Male,Yes,Not Graduate,No,5216,1169,1.59,180,1,Rural,0
Male,Yes,Not Graduate,No,3247,1743,1.44,180,0,Rural,0
Male,Yes,Not Graduate,No,3363,575,1.44,180,1,Rural,0
Male,Yes,Graduate,Yes,5809,1470,1.5,180,0,Semiurban,1
Male,Yes,Not Graduate,No,2459,670,1.04,360,1,Rural,1
Male,Yes,Not Graduate,No,3509,433,1.05,180,0,Rural,0
Male,Yes,Not Graduate,No,6555,0,1.4,300,0,Rural,0
Male,Yes,Not Graduate,No,3855,537,1.33,180,1,Rural,1
Female,No,Graduate,Yes,1751,1115,0.7,360,0,Semiurban,1
Male,Yes,Not Graduate,No,3481,0,1.17,300,1,Rural,0
Male,Yes,Graduate,Yes,5491,762,1.32,300,1,Semiurban,1
Male,No,Graduate,No,2063,1516,0.5,300,0,Semiurban,1
Male,Yes,Graduate,No,6587,0,1.68,360,0,Urban,1
Male,Yes,Graduate,No,6986,616,1.62,360,1,Urban,0
Male,Yes,Not Graduate,No,2665,297,1.08,360,0,Rural,1
Male,Yes,Graduate,Yes,5151,0,1.22,180,1,Semiurban,0
Female,No,Graduate,No,1888,1174,1.15,300,1,Urban,0
Male,Yes,Graduate,Yes,5170,0,1.09,300,0,Semiurban,0
Male,Yes,Not Graduate,No,2077,0,0.87,360,1,Rural,1
Male,Yes,Graduate,Yes,4432,0,1.39,180,0,Semiurban,0
Female,No,Graduate,No,1501,1696,0.97,180,1,Semiurban,1
Male,Yes,Not Graduate,No,4573,1740,1.06,300,0,Rural,1
Male,Yes,Graduate,No,6298,0,1.54,300,1,Urban,1
Female,Yes,Not Graduate,Yes,3300,2665,1.1,180,0,Rural,1
Female,Yes,Not Graduate,Yes,1300,3086,0.94,180,1,Rural,0
Female,No,Graduate,No,1489,2056,1.3,300,0,Semiurban,0
Male,No,Graduate,No,2253,2239,0.75,180,1,Semiurban,1
Male,Yes,Graduate,No,5016,1303,1.37,360,1,Urban,1
Female,No,Graduate,Yes,1234,1922,1.06,360,1,Semiurban,0
Female,No,Graduate,Yes,4004,1451,1.53,360,0,Semiurban,1
Male,Yes,Not Graduate,No,4782,0,1.04,360,1,Rural,1
Female,No,Graduate,Yes,1000,1668,1.01,300,1,Semiurban,1
Female,No,Graduate,No,1000,854,0.94,180,1,Urban,1
Female,No,Graduate,Yes,4546,1379,1.31,300,1,Semiurban,0
Male,Yes,Not Graduate,No,4739,0,1.51,300,0,Rural,1
Female,No,Graduate,Yes,1769,614,0.62,360,1,Semiurban,1
Male,Yes,Not Graduate,No,3277,0,1.05,300,0,Rural,1
Male,No,Graduate,No,2545,1502,0.61,300,1,Semiurban,1
Male,Yes,Graduate,Yes,5677,0,1.39,180,1,Semiurban,0
Female,Yes,Not Graduate,Yes,2170,2582,0.87,360,1,Rural,0
Male,Yes,Graduate,No,7069,176,1.31,300,1,Urban,0
Female,No,Graduate,No,1938,1902,1.17,360,0,Urban,0
Male,Yes,Not Graduate,No,4553,0,1.49,360,1,Rural,1
Female,Yes,Not Graduate,Yes,2329,1971,0.79,300,1,Rural,1
Male,Yes,Graduate,No,5037,0,1.43,180,0,Urban,1
Male,Yes,Graduate,No,4453,0,1.88,300,0,Urban,1
Male,Yes,Graduate,No,4307,768,1.7,180,1,Urban,1
Female,No,Graduate,No,2767,1386,0.77,360,0,Semiurban,1
Female,No,Graduate,No,2265,1062,1.19,360,0,Urban,0
Male,Yes,Graduate,No,7377,1091,1.84,300,0,Urban,1
Female,No,Graduate,No,1000,857,1.07,360,0,Urban,1
Male,No,Graduate,No,5138,1472,0.5,360,1,Semiurban,1
Male,Yes,Not Graduate,No,6312,857,1.29,360,1,Rural,1
Male,Yes,Graduate,No,6074,0,1.39,180,1,Urban,0
Male,Yes,Not Graduate,No,4059,0,1.01,180,0,Rural,1
Male,Yes,Graduate,No,5649,0,2.02,180,1,Urban,0
Female,No,Graduate,No,1136,1734,0.51,180,0,Urban,0
Female,No,Graduate,No,2537,2108,1.18,360,1,Urban,0
Male,Yes,Graduate,No,4388,137,1.63,300,0,Urban,1
Female,Yes,Not Graduate,Yes,3544,3559,1.22,180,1,Rural,0
Female,No,Graduate,No,2632,1087,1.05,360,1,Semiurban,1
Male,Yes,Graduate,Yes,5010,0,0.92,300,0,Semiurban,1
Female,Yes,Not Graduate,Yes,4070,2805,1.17,360,1,Rural,0
Male,No,Graduate,No,3484,2845,0.5,300,1,Semiurban,0
Male,Yes,Graduate,Yes,4194,959,1.45,300,0,Semiurban,1
Male,Yes,Graduate,No,4609,622,1.51,180,1,Urban,0
Male,Yes,Graduate,No,6424,490,1.54,300,0,Urban,0
Female,No,Graduate,No,2816,1392,0.96,300,1,Semiurban,1
Male,Yes,Graduate,No,5146,1097,1.47,360,0,Urban,1
Male,Yes,Graduate,Yes,3998,0,0.97,360,0,Semiurban,1
Male,Yes,Graduate,Yes,5495,1103,1.28,180,0,Semiurban,1
Male,Yes,Not Graduate,No,4436,0,1.69,300,1,Rural,1
Female,No,Graduate,Yes,2861,1277,0.84,180,1,Semiurban,0
Female,No,Graduate,Yes,2381,1280,0.8,300,1,Semiurban,1
Male,Yes,Not Graduate,No,3763,0,1.21,360,1,Rural,1
Male,Yes,Not Graduate,No,3827,0,1.41,300,0,Rural,0
Male,Yes,Graduate,No,6387,1694,1.66,180,1,Urban,1
Male,Yes,Not Graduate,No,6420,636,1.27,180,1,Rural,0
Female,Yes,Not Graduate,Yes,3190,1564,1.36,180,0,Rural,0
Male,No,Graduate,No,3743,1707,0.5,360,0,Semiurban,1
Female,Yes,Not Graduate,Yes,2585,1412,1.06,360,1,Rural,1
Male,No,Graduate,No,1000,2957,0.73,360,1,Semiurban,1
Female,Yes,Not Graduate,Yes,2351,1521,1.02,360,0,Rural,0
Male,Yes,Graduate,No,5547,0,1.45,180,1,Urban,1
Female,No,Graduate,No,1707,848,1.09,180,1,Semiurban,1
Female,No,Graduate,No,2454,2657,1.09,300,0,Semiurban,0
Female,No,Graduate,No,2440,593,0.76,300,0,Semiurban,1
Female,No,Graduate,No,2392,1790,0.99,180,0,Semiurban,0
Male,Yes,Not Graduate,No,1000,1495,1.29,300,1,Rural,1
Female,Yes,Not Graduate,Yes,2958,2351,1.44,300,0,Rural,1
Male,Yes,Graduate,Yes,5775,337,1.73,180,1,Semiurban,0
Female,Yes,Not Graduate,Yes,3375,1206,1.25,360,0,Rural,0
Male,Yes,Graduate,No,5739,934,1.29,300,0,Urban,1
Male,Yes,Graduate,No,3777,37,1.53,300,1,Urban,1
Female,No,Graduate,No,1978,1514,1.22,300,1,Semiurban,1
Female,Yes,Not Graduate,Yes,3658,2720,1.05,180,0,Rural,1
Male,No,Graduate,No,1125,2109,0.53,180,0,Semiurban,1
Female,No,Graduate,No,1687,2262,1.16,360,1,Urban,1
Male,Yes,Graduate,Yes,5323,0,1.5,300,1,Semiurban,1
Male,Yes,Graduate,Yes,5774,0,1.13,300,0,Semiurban,1
Female,No,Graduate,No,2413,224,0.79,360,1,Urban,1
Female,No,Graduate,No,1480,767,1.18,180,0,Urban,0
Male,Yes,Graduate,Yes,4046,0,1.26,300,1,Semiurban,0
Male,Yes,Graduate,Yes,5111,0,1.75,360,1,Semiurban,1
Female,Yes,Not Graduate,Yes,3528,2374,1.16,300,0,Rural,0
Female,Yes,Not Graduate,Yes,3654,2366,0.97,180,0,Rural,1
Male,No,Graduate,No,2610,1398,0.65,360,1,Semiurban,0
Male,No,Graduate,No,2600,1221,1.09,300,0,Semiurban,1
Male,Yes,Not Graduate,No,4693,0,1.19,300,1,Rural,0
Male,Yes,Graduate,No,6690,57,1.61,300,1,Urban,0
Female,No,Graduate,No,1000,2802,0.8,300,1,Semiurban,1
Female,No,Graduate,No,1663,1496,1.13,180,1,Urban,1
Male,No,Graduate,No,3562,1470,0.64,300,0,Semiurban,0
Male,Yes,Not Graduate,No,2332,432,0.96,300,0,Rural,1
Male,Yes,Not Graduate,No,3907,1605,1.38,180,1,Rural,0
Female,Yes,Not Graduate,Yes,3953,644,1.02,180,1,Rural,1
Female,No,Graduate,No,1000,0,1.1,180,1,Urban,0
Male,Yes,Not Graduate,No,4782,0,1.1,180,1,Rural,1
Female,No,Graduate,No,1551,2406,1.11,180,1,Urban,0
Female,Yes,Not Graduate,Yes,3873,2041,1.3,180,0,Rural,1
Male,Yes,Graduate,No,4340,0,1.21,360,0,Urban,0
Female,No,Graduate,No,2031,238,0.89,300,1,Urban,1
Male,No,Graduate,No,1973,2794,0.5,360,0,Semiurban,0
Female,No,Graduate,No,2001,3117,0.84,180,1,Semiurban,1
Female,Yes,Not Graduate,Yes,2063,2569,0.85,180,0,Rural,1
Male,Yes,Graduate,Yes,4709,0,1.56,300,1,Semiurban,0
Male,Yes,Graduate,No,6726,228,1.92,360,0,Urban,1
Male,No,Graduate,No,3791,3752,0.77,300,0,Semiurban,0
Male,No,Graduate,No,2449,2322,0.5,180,0,Semiurban,1
Male,Yes,Graduate,Yes,4892,0,1.41,180,1,Semiurban,0
Female,No,Graduate,Yes,1000,1972,1.15,300,0,Semiurban,1
Female,No,Graduate,Yes,3976,1722,0.79,360,0,Semiurban,0
Female,Yes,Not Graduate,Yes,3081,542,1.22,360,1,Rural,1
Female,No,Graduate,Yes,3475,1712,1.04,180,1,Semiurban,0
Male,Yes,Graduate,Yes,5345,0,1.32,180,0,Semiurban,1
Male,Yes,Not Graduate,No,3573,1012,1.02,360,1,Rural,0
Female,Yes,Not Graduate,Yes,1000,4159,1.22,180,0,Rural,0
Female,No,Graduate,Yes,1000,1432,0.57,180,0,Semiurban,1
Female,No,Graduate,No,1687,2186,0.91,180,1,Semiurban,0
Male,Yes,Not Graduate,No,5397,268,1.43,300,0,Rural,1
Female,Yes,Not Graduate,Yes,1302,2502,1.11,180,1,Rural,1
Male,Yes,Graduate,No,3507,1636,1.08,360,1,Urban,1
Male,No,Graduate,No,4399,1648,0.5,180,1,Semiurban,1
Male,Yes,Not Graduate,No,3645,0,1.43,300,0,Rural,1
Female,No,Graduate,No,2578,751,1.39,360,1,Urban,1
Male,Yes,Not Graduate,No,4152,0,1.5,360,0,Rural,0
Male,Yes,Not Graduate,No,4951,0,1.61,180,1,Rural,1
Female,No,Graduate,Yes,3356,2978,0.97,360,0,Semiurban,0
Male,Yes,Graduate,Yes,4006,0,1.52,180,0,Semiurban,0
Female,No,Graduate,No,2705,76,0.94,300,0,Semiurban,1
Female,No,Graduate,No,1000,564,0.95,360,1,Urban,0
Female,No,Graduate,Yes,3562,1971,0.96,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,2649,1366,0.92,180,1,Rural,0
Male,Yes,Graduate,No,3639,0,1.56,180,1,Urban,0
Female,No,Graduate,No,2689,1695,0.84,300,1,Urban,1
Male,Yes,Graduate,No,4148,0,1.53,180,0,Urban,0
Male,Yes,Not Graduate,No,4644,0,1.62,180,1,Rural,0
Male,Yes,Not Graduate,No,4050,624,1.54,300,0,Rural,1
Male,Yes,Not Graduate,No,5255,0,1.45,300,0,Rural,1
Female,No,Graduate,No,3118,1993,1.09,360,0,Urban,0
Female,No,Graduate,Yes,3460,2915,1.1,180,0,Semiurban,1
Female,No,Graduate,Yes,3246,1542,1.07,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,3133,1984,1.28,180,0,Rural,1
Female,No,Graduate,No,3456,754,1.11,360,0,Semiurban,0
Male,No,Graduate,No,3152,3168,0.71,360,0,Semiurban,1
Female,No,Graduate,Yes,2869,2792,0.98,360,1,Semiurban,1
Female,No,Graduate,Yes,4163,2389,0.73,300,0,Semiurban,0
Female,No,Graduate,Yes,3128,1116,1.0,300,1,Semiurban,1
Male,Yes,Graduate,Yes,5928,0,1.64,300,1,Semiurban,1
Male,Yes,Not Graduate,No,5573,0,1.15,180,0,Rural,1
Female,No,Graduate,No,2255,557,0.57,180,1,Semiurban,1
Male,Yes,Graduate,No,6527,0,1.61,360,1,Urban,0
Male,Yes,Graduate,No,4557,0,1.61,300,1,Urban,1
Female,Yes,Not Graduate,Yes,3838,2978,1.24,360,0,Rural,0
Male,Yes,Graduate,No,3895,686,1.78,180,1,Urban,1
Female,No,Graduate,No,2753,1895,0.92,300,1,Semiurban,1
Male,No,Graduate,No,1632,2998,0.5,360,0,Semiurban,1
Female,No,Graduate,No,1000,298,1.59,180,1,Urban,1
Female,No,Graduate,Yes,3967,2719,0.82,300,1,Semiurban,1
Female,Yes,Not Graduate,Yes,3728,1374,1.18,360,1,Rural,1
Female,No,Graduate,Yes,4744,676,0.99,360,0,Semiurban,1
Female,Yes,Not Graduate,Yes,2626,1857,0.83,180,0,Rural,1
Male,Yes,Graduate,No,5931,0,1.48,360,1,Urban,1
Female,No,Graduate,No,1969,0,0.5,300,0,Semiurban,0
Female,No,Graduate,No,1000,0,1.01,360,1,Urban,1
Male,Yes,Graduate,No,4771,0,1.45,360,0,Urban,0
Male,Yes,Graduate,No,5746,0,1.49,300,1,Urban,0
Male,Yes,Graduate,Yes,4182,0,1.45,360,1,Semiurban,0
Male,Yes,Not Graduate,No,3030,999,1.42,300,1,Rural,0
Male,No,Graduate,No,3016,1291,0.66,360,1,Semiurban,1
Male,Yes,Graduate,No,2995,208,1.57,360,0,Urban,1
Female,No,Graduate,Yes,2989,1053,1.16,360,1,Semiurban,1
Female,No,Graduate,Yes,1900,3187,1.37,300,1,Semiurban,1
Male,Yes,Graduate,Yes,3662,599,1.06,300,0,Semiurban,1
Male,Yes,Graduate,No,4284,1117,1.75,180,0,Urban,0
Male,No,Graduate,No,2944,3181,0.5,300,1,Semiurban,1
Female,No,Graduate,Yes,3394,2529,1.08,300,1,Semiurban,1
Female,No,Graduate,No,2259,1045,1.02,180,0,Semiurban,0
Male,No,Graduate,No,3020,3266,0.69,300,0,Semiurban,0
Female,No,Graduate,No,1950,2804,0.98,360,0,Urban,1
Male,Yes,Not Graduate,No,5050,1221,1.19,300,0,Rural,0
Male,No,Graduate,No,3207,1955,0.51,300,1,Semiurban,0
Male,Yes,Not Graduate,No,5100,0,1.33,360,1,Rural,1
Male,Yes,Graduate,No,5628,241,1.48,300,0,Urban,0
Male,Yes,Graduate,No,5458,0,1.46,300,1,Urban,0
Female,Yes,Not Graduate,Yes,2280,2660,1.23,360,1,Rural,1
Male,Yes,Graduate,No,5609,0,1.43,300,0,Urban,1
Male,Yes,Graduate,No,2906,235,1.55,360,0,Urban,0
Female,Yes,Not Graduate,Yes,1683,1088,1.25,180,0,Rural,0
Male,Yes,Graduate,No,4638,599,1.35,360,1,Urban,0
Male,Yes,Graduate,Yes,5862,2046,1.58,360,1,Semiurban,1
Male,No,Graduate,No,2649,1930,0.5,300,0,Semiurban,0
Female,Yes,Not Graduate,Yes,1878,1185,1.33,300,1,Rural,1
Female,Yes,Not Graduate,Yes,3118,4438,1.03,300,0,Rural,1
Male,Yes,Graduate,Yes,5324,589,1.51,360,1,Semiurban,0
Male,No,Graduate,No,2012,1319,0.5,300,1,Semiurban,0
Male,Yes,Not Graduate,No,3558,0,1.32,360,0,Rural,0
Male,Yes,Not Graduate,No,2963,0,1.03,180,0,Rural,0
Female,Yes,Not Graduate,Yes,2218,2892,1.11,300,0,Rural,1
Male,Yes,Graduate,No,6055,0,1.48,180,0,Urban,1
Male,No,Graduate,No,2844,2300,0.58,360,0,Semiurban,0
Male,Yes,Not Graduate,No,2339,346,1.25,300,0,Rural,1
Male,No,Graduate,No,1841,2562,0.74,180,0,Semiurban,1
Male,Yes,Not Graduate,No,3036,0,1.32,300,0,Rural,0
Female,No,Graduate,No,1286,585,1.18,180,1,Urban,1
Male,Yes,Graduate,No,5735,256,1.62,180,1,Urban,1
Male,Yes,Graduate,No,3989,582,1.45,360,0,Urban,0
Female,Yes,Not Graduate,Yes,2340,1077,0.77,360,1,Rural,0
Male,Yes,Not Graduate,No,2827,246,1.71,180,1,Rural,1
Female,Yes,Not Graduate,Yes,1000,1147,0.86,300,0,Rural,1
Female,No,Graduate,Yes,3634,1673,0.93,360,0,Semiurban,0
Male,No,Graduate,No,1453,49,0.89,300,1,Semiurban,1
Male,Yes,Not Graduate,No,1954,0,1.36,360,0,Rural,1
Female,No,Graduate,No,1872,2126,1.08,360,0,Urban,1
Female,Yes,Not Graduate,Yes,2605,2238,0.93,300,1,Rural,0
Male,Yes,Graduate,Yes,6285,0,1.27,360,0,Semiurban,0
Male,Yes,Not Graduate,No,3975,1771,1.4,360,1,Rural,1
Female,No,Graduate,No,1000,1846,0.73,180,0,Urban,1
Male,Yes,Graduate,No,2838,0,1.41,180,1,Urban,0
Female,No,Graduate,No,3748,1625,0.9,360,1,Semiurban,1
Female,No,Graduate,No,3124,1622,0.98,360,0,Urban,1
Female,No,Graduate,Yes,3759,785,1.32,180,0,Semiurban,0
Male,Yes,Graduate,No,5490,0,1.51,180,0,Urban,0
Female,Yes,Not Graduate,Yes,3921,2912,1.27,180,0,Rural,0
Male,Yes,Not Graduate,No,4848,0,1.24,360,0,Rural,1
Male,No,Graduate,No,3196,2240,0.5,180,0,Semiurban,1
Female,No,Graduate,No,1000,1627,1.16,180,0,Urban,1
Male,Yes,Graduate,Yes,5892,1657,1.43,180,1,Semiurban,0
Male,Yes,Not Graduate,No,1886,724,1.15,180,1,Rural,1
Male,No,Graduate,No,2836,2946,0.81,360,1,Semiurban,0
Male,No,Graduate,No,1000,2243,0.61,180,0,Semiurban,1
Female,No,Graduate,No,2432,739,1.08,180,0,Urban,1
Male,Yes,Graduate,Yes,5010,851,1.43,300,0,Semiurban,1
Female,Yes,Not Graduate,Yes,1567,1670,1.25,300,0,Rural,0
Male,Yes,Graduate,No,5831,442,1.92,300,1,Urban,0
Male,Yes,Graduate,No,4398,313,1.46,300,1,Urban,1
Male,No,Graduate,No,3860,2175,0.55,360,0,Semiurban,0
Male,Yes,Not Graduate,No,4762,375,1.46,180,1,Rural,1
Female,No,Graduate,No,1000,587,1.05,180,0,Urban,0
Female,No,Graduate,No,4105,1504,0.9,300,1,Urban,0
Female,No,Graduate,Yes,4627,2062,1.27,360,0,Semiurban,0
Female,Yes,Not Graduate,Yes,2805,3372,1.28,180,0,Rural,0
Male,Yes,Graduate,No,6663,0,1.7,300,1,Urban,1
Male,Yes,Graduate,No,5853,0,1.46,360,0,Urban,0
Female,Yes,Not Graduate,Yes,1503,2338,0.99,360,1,Rural,0
Female,No,Graduate,Yes,4658,1370,1.1,180,1,Semiurban,1
Female,No,Graduate,No,2663,1028,0.89,180,1,Semiurban,1
Male,Yes,Graduate,No,6304,0,1.74,300,1,Urban,1
Female,No,Graduate,No,2131,342,0.71,300,0,Semiurban,1
Female,No,Graduate,No,1690,1521,0.5,300,1,Urban,1
Female,No,Graduate,No,3837,2589,0.87,300,1,Semiurban,0
Female,Yes,Not Graduate,Yes,2271,1751,1.01,360,0,Rural,0
Female,No,Graduate,No,1993,466,0.86,180,1,Semiurban,1
Female,No,Graduate,No,2380,986,1.0,180,1,Urban,1
Female,No,Graduate,Yes,1000,2126,0.76,360,1,Semiurban,0
